id,rank,pick,name,position,team,bye,ADP,STD,HIGH,LOW
80,80,7.08,Will Fuller,WR,HOU,10,79.6,6.9,6.02,8.12
81,81,7.08,Allen Robinson,WR,CHI,6,79.9,6.8,5.12,8.12
82,82,7.09,Christian Kirk,WR,ARI,12,81.1,7.1,5.01,9.02
83,83,7.09,Kareem Hunt,RB,CLE,7,81.2,8.2,5.05,9.01
84,84,7.11,Miles Sanders,RB,FA,12,83.2,6.9,6.02,9.02
85,85,7.11,Dante Pettis,WR,SF,4,83.3,6.8,5.11,9.02
86,86,7.11,Vance McDonald,TE,PIT,7,83.3,8.7,6.03,10.1
87,87,7.12,Carson Wentz,QB,PHI,10,83.7,8.9,5.06,9.09
88,88,8.02,Russell Wilson,QB,SEA,11,85.6,8.9,6.02,10.07
89,89,8.02,David Njoku,TE,CLE,7,86.3,9.3,5.12,10.11
90,90,8.03,Ronald Jones II,RB,TB,7,87.2,6.3,6.01,9.07
91,91,8.03,N'Keal Harry,WR,NE,10,87.3,7.7,5.12,9.06
92,92,8.05,Jordan Howard,RB,PHI,10,89.4,8.3,5.04,9.09
93,93,8.08,Royce Freeman,RB,DEN,10,92.2,7.2,6.02,9.11
94,94,8.08,Geronimo Allison,WR,GB,11,92.4,7.1,6.03,10.03
95,95,8.09,Kyler Murray,QB,FA,12,92.5,11.1,5.03,11.12
96,96,8.09,D.K. Metcalf,WR,SEA,11,92.6,8.2,6.05,10.05
97,97,8.09,Chicago Defense,DEF,CHI,6,92.7,5.6,6.01,9.11
98,98,8.1,LeSean McCoy,RB,BUF,6,94.4,7.7,6.05,10.04
99,99,9.02,Golden Tate,WR,NYG,11,98.4,7.4,7.04,10.07
100,100,9.03,Sterling Shepard,WR,NYG,11,98.6,7.9,6.07,10.07
101,101,9.03,Larry Fitzgerald,WR,ARI,12,99.5,8.3,6.04,10.1
102,102,9.05,Jared Goff,QB,LAR,9,100.9,10.1,6.03,11.05
103,103,9.05,Marvin Jones,WR,DET,5,101.2,7.8,7.01,10.11
104,104,9.06,Jerick McKinnon,RB,SF,4,101.5,8.3,6.04,10.11
105,105,9.06,Austin Ekeler,RB,LAC,12,101.8,8.1,7.06,11.04
106,106,9.08,Mecole Hardman,WR,KC,12,104.1,6.5,7.12,10.08
107,107,9.09,Cam Newton,QB,CAR,7,104.5,9.6,5.01,11.1
108,108,9.09,LA Rams Defense,DEF,LAR,9,105,6.2,8.02,10.12
109,109,9.09,Jaylen Samuels,RB,PIT,7,105.3,7.9,7.01,11.1
110,110,9.1,Corey Davis,WR,TEN,11,106.1,7.7,7.06,11.01
111,111,9.11,Ito Smith,RB,ATL,9,107.3,7.5,8.02,11.08
112,112,10.02,Donta Foreman,RB,HOU,10,110.2,9.9,7.07,12.05
